id,name,position,league,team,season,gamesPlayed,minutes,wins,losses,ot,shotsAgainst,saves,goalsAgainst,gaa,shutouts,savePct,gameRating,rookie,pos,pos_broad
234,Blunt Man,G,1,CAR,54,1,1,0,0,0,2,1,1,9.99,0,0.5,39,FALSE,Goalie,Goalie
299,Frans Eller,G,1,CAR,54,20,1215,12,7,1,566,505,61,3.01,2,0.892,63,FALSE,Goalie,Goalie
363,Richard Majors,G,1,STL,54,1,50,0,0,0,35,33,2,2.37,0,0.943,84,FALSE,Goalie,Goalie
365,Cale Amundsen,G,1,NL,54,14,852,7,6,1,420,382,38,2.68,1,0.91,71,FALSE,Goalie,Goalie
398,Scoochie Stratton,G,1,ANC,54,7,437,3,3,1,245,221,24,3.29,0,0.902,65,TRUE,Goalie,Goalie
430,Thor Odinson,G,1,DET,54,1,7,0,0,0,3,3,0,0,0,0.999,51,FALSE,Goalie,Goalie
1,Sergei Potvinov,G,1,VAN,55,1,3,0,0,0,3,2,1,9.99,0,0.667,42,FALSE,Goalie,Goalie
3,Peter Ramsey,G,1,KEL,55,17,1118,11,5,1,520,475,45,2.41,1,0.913,68,TRUE,Goalie,Goalie
69,Junior Guarda,G,1,NL,55,1,0,0,0,0,1,0,1,9.99,0,0,41,FALSE,Goalie,Goalie
99,Phillip Weaver,G,1,NBB,55,2,116,0,2,0,81,70,11,5.69,0,0.864,57,TRUE,Goalie,Goalie
165,Separa Borro,G,1,ANA,55,6,369,2,3,1,181,162,19,3.09,0,0.895,65,FALSE,Goalie,Goalie
201,Mat Smith,G,1,QCC,55,10,564,4,6,0,352,324,28,2.98,0,0.92,74,FALSE,Goalie,Goalie
202,Nicolae Antonescu,G,1,STL,55,4,252,0,3,1,122,108,14,3.33,0,0.885,58,FALSE,Goalie,Goalie
233,Chimkin Tendy,G,1,ANC,55,1,22,0,0,0,7,6,1,2.67,0,0.857,47,FALSE,Goalie,Goalie
234,Blunt Man,G,1,CAR,55,11,658,7,4,0,371,344,27,2.46,1,0.927,79,TRUE,Goalie,Goalie
263,Marcel Laflamme,G,1,COL,55,6,448,2,3,1,194,174,20,2.68,0,0.897,61,FALSE,Goalie,Goalie
266,C.K. Supernaw,G,1,NBB,55,3,123,0,2,0,90,84,6,2.92,0,0.933,75,FALSE,Goalie,Goalie
365,Cale Amundsen,G,1,NL,55,17,1017,12,5,0,449,415,34,2.01,4,0.924,73,FALSE,Goalie,Goalie
398,Scoochie Stratton,G,1,ANC,55,7,411,3,3,1,186,158,28,4.08,0,0.849,51,FALSE,Goalie,Goalie
399,Leo Bloomfield,G,1,MET,55,24,1464,14,7,3,881,818,63,2.58,1,0.928,81,FALSE,Goalie,Goalie
400,Name Redacted,G,1,VAN,55,8,488,4,4,0,233,207,26,3.19,1,0.888,64,FALSE,Goalie,Goalie
430,Thor Odinson,G,1,DET,55,4,238,0,3,1,121,106,15,3.77,0,0.876,61,TRUE,Goalie,Goalie
616,David Danielson,G,1,QCC,55,1,43,0,0,0,29,25,4,5.54,0,0.862,54,TRUE,Goalie,Goalie
3,Peter Ramsey,G,1,KEL,56,11,664,4,7,0,403,361,42,3.79,0,0.896,72,FALSE,Goalie,Goalie
99,Phillip Weaver,G,1,NBB,56,2,124,1,1,0,74,68,6,2.89,0,0.919,73,FALSE,Goalie,Goalie
166,Yanno Rosejac,G,1,COL,56,11,665,5,5,1,316,286,30,2.7,1,0.905,68,TRUE,Goalie,Goalie
168,Bigga Foryu,G,1,MET,56,1,1,0,0,0,1,1,0,0,0,0.999,50,FALSE,Goalie,Goalie
201,Mat Smith,G,1,QCC,56,6,357,2,4,0,194,176,18,3.02,0,0.907,70,TRUE,Goalie,Goalie
202,Nicolae Antonescu,G,1,STL,56,7,433,3,4,0,237,216,21,2.9,0,0.911,70,FALSE,Goalie,Goalie
232,Jon St. Ark,G,1,VAN,56,1,60,1,0,0,23,23,0,0,1,0.999,97,FALSE,Goalie,Goalie
234,Blunt Man,G,1,CAR,56,12,728,7,5,0,475,437,38,3.13,0,0.92,77,FALSE,Goalie,Goalie
266,C.K. Supernaw,G,1,NBB,56,3,178,0,3,0,113,98,15,5.04,0,0.867,55,FALSE,Goalie,Goalie
297,Vincent Mietitore,G,1,ANA,56,7,425,3,2,2,211,191,20,2.82,0,0.905,66,TRUE,Goalie,Goalie
365,Cale Amundsen,G,1,NL,56,17,1030,10,6,1,604,565,39,2.27,1,0.935,81,FALSE,Goalie,Goalie
398,Scoochie Stratton,G,1,ANC,56,16,963,10,5,1,375,337,38,2.37,1,0.899,65,FALSE,Goalie,Goalie
399,Leo Bloomfield,G,1,MET,56,12,737,5,5,2,379,343,36,2.93,0,0.905,69,FALSE,Goalie,Goalie
400,Name Redacted,G,1,VAN,56,16,962,11,5,0,408,371,37,2.31,1,0.909,70,FALSE,Goalie,Goalie
430,Thor Odinson,G,1,DET,56,5,302,1,3,1,211,199,12,2.38,2,0.943,92,FALSE,Goalie,Goalie
3,Peter Ramsey,G,1,KEL,57,1,60,0,1,0,32,29,3,3,0,0.906,64,FALSE,Goalie,Goalie
99,Phillip Weaver,G,1,NBB,57,4,243,0,3,1,121,106,15,3.69,0,0.876,61,FALSE,Goalie,Goalie
166,Yanno Rosejac,G,1,COL,57,6,354,2,4,0,169,145,24,4.06,1,0.858,56,FALSE,Goalie,Goalie
168,Bigga Foryu,G,1,MET,57,5,298,1,4,0,190,172,18,3.62,0,0.905,72,TRUE,Goalie,Goalie
198,Damien Vertigo,G,1,KEL,57,6,358,3,3,0,185,166,19,3.18,1,0.897,64,TRUE,Goalie,Goalie
200,Hugo Gronroos,G,1,NL,57,11,659,6,5,0,316,284,32,2.91,2,0.899,63,TRUE,Goalie,Goalie
201,Mat Smith,G,1,QCC,57,13,792,7,4,2,347,313,34,2.58,0,0.902,66,FALSE,Goalie,Goalie
202,Nicolae Antonescu,G,1,STL,57,11,611,4,7,0,297,268,29,2.84,1,0.902,66,FALSE,Goalie,Goalie
232,Jon St. Ark,G,1,VAN,57,14,853,9,5,0,447,409,38,2.67,1,0.915,75,TRUE,Goalie,Goalie
233,Chimkin Tendy,G,1,ANC,57,16,968,12,3,1,405,375,30,1.86,1,0.926,71,FALSE,Goalie,Goalie
234,Blunt Man,G,1,CAR,57,5,299,1,4,0,185,166,19,3.81,1,0.897,66,FALSE,Goalie,Goalie
266,C.K. Supernaw,G,1,NBB,57,1,60,1,0,0,29,26,3,3,0,0.897,57,FALSE,Goalie,Goalie
297,Vincent Mietitore,G,1,ANA,57,21,1278,13,7,1,619,559,60,2.82,2,0.903,68,FALSE,Goalie,Goalie
467,Tyler Avery,G,1,DET,57,1,40,0,0,0,24,21,3,4.46,0,0.875,55,FALSE,Goalie,Goalie
516,Kit Kirkstone,G,1,STL,57,1,45,0,0,0,20,18,2,2.63,0,0.9,59,FALSE,Goalie,Goalie
575,Valtteri Aalto,G,1,DET,57,4,198,0,4,0,108,91,17,5.13,0,0.843,44,TRUE,Goalie,Goalie
617,Tyrone Banks,G,1,COL,57,1,1,0,0,0,1,1,0,0,0,0.999,50,FALSE,Goalie,Goalie
627,Tim Allen Jr.,G,1,NL,57,1,11,0,0,0,11,7,4,9.99,0,0.636,25,FALSE,Goalie,Goalie
166,Yanno Rosejac,G,1,COL,58,14,851,7,6,1,426,389,37,2.61,1,0.913,72,FALSE,Goalie,Goalie
168,Bigga Foryu,G,1,MET,58,5,299,1,4,0,184,172,12,2.41,1,0.935,77,FALSE,Goalie,Goalie
198,Damien Vertigo,G,1,KEL,58,12,730,5,6,1,366,333,33,2.71,1,0.91,69,FALSE,Goalie,Goalie
200,Hugo Gronroos,G,1,NL,58,15,920,9,4,2,314,287,27,1.76,3,0.914,68,FALSE,Goalie,Goalie
201,Mat Smith,G,1,QCC,58,17,1019,12,4,1,409,384,25,1.47,5,0.939,78,FALSE,Goalie,Goalie
232,Jon St. Ark,G,1,VAN,58,13,785,7,6,0,382,351,31,2.37,2,0.919,70,FALSE,Goalie,Goalie
233,Chimkin Tendy,G,1,ANC,58,21,1307,13,7,1,597,541,56,2.57,0,0.906,66,FALSE,Goalie,Goalie
266,C.K. Supernaw,G,1,NBB,58,5,269,1,4,0,160,142,18,4,0,0.888,59,TRUE,Goalie,Goalie
297,Vincent Mietitore,G,1,ANA,58,7,432,3,4,0,222,207,15,2.08,1,0.932,77,FALSE,Goalie,Goalie
509,Keisuke Suzuki,G,1,VAN,58,1,11,0,0,0,8,7,1,5.14,0,0.875,49,FALSE,Goalie,Goalie
516,Kit Kirkstone,G,1,STL,58,6,360,2,3,1,191,172,19,3.16,0,0.901,67,TRUE,Goalie,Goalie
540,Kojo Murata,G,1,ANC,58,1,8,0,0,0,3,2,1,7.02,0,0.667,41,FALSE,Goalie,Goalie
575,Valtteri Aalto,G,1,DET,58,5,332,1,4,0,154,141,13,2.35,0,0.916,68,FALSE,Goalie,Goalie
580,Ragnar-Alexandre Ragnarsson-Tremblay,G,1,CAR,58,6,364,2,3,1,193,176,17,2.8,0,0.912,73,TRUE,Goalie,Goalie
685,Osada Tamura,G,1,NBB,58,1,29,0,0,0,27,23,4,8.03,0,0.852,47,FALSE,Goalie,Goalie
166,Yanno Rosejac,G,1,COL,59,4,263,0,2,2,149,134,15,3.42,0,0.899,73,FALSE,Goalie,Goalie
168,Bigga Foryu,G,1,MET,59,8,474,5,3,0,265,244,21,2.66,1,0.921,79,FALSE,Goalie,Goalie
200,Hugo Gronroos,G,1,NL,59,12,680,6,5,1,344,304,40,3.53,0,0.884,58,FALSE,Goalie,Goalie
232,Jon St. Ark,G,1,VAN,59,11,604,6,4,0,341,308,33,3.28,0,0.903,65,FALSE,Goalie,Goalie
297,Vincent Mietitore,G,1,ANA,59,4,237,0,4,0,121,107,14,3.53,0,0.884,60,FALSE,Goalie,Goalie
575,Valtteri Aalto,G,1,KEL,59,17,1027,12,4,1,438,396,42,2.45,1,0.904,63,FALSE,Goalie,Goalie
580,Ragnar-Alexandre Ragnarsson-Tremblay,G,1,CAR,59,5,253,1,4,0,155,136,19,4.5,0,0.877,60,FALSE,Goalie,Goalie
605,Tyler Ward,G,1,QCC,59,18,1074,10,8,0,489,450,39,2.18,3,0.92,72,FALSE,Goalie,Goalie
672,Guy Fieri,G,1,ANC,59,20,1231,13,6,1,579,528,51,2.48,2,0.912,67,TRUE,Goalie,Goalie
685,Osada Tamura,G,1,CAR,59,2,43,0,0,0,21,21,0,0,0,0.999,63,FALSE,Goalie,Goalie
731,Jack Lewis,G,1,STL,59,1,3,0,0,0,0,0,0,0,0,0,48,FALSE,Goalie,Goalie
757,Podan Podanovic,G,1,DET,59,5,295,1,4,0,130,118,12,2.44,0,0.908,66,TRUE,Goalie,Goalie
814,Willie Macdougal,G,1,ANC,59,1,3,0,0,0,1,0,1,9.99,0,0,39,FALSE,Goalie,Goalie
827,Evgeni Petrov,G,1,NL,59,2,38,0,0,0,27,24,3,4.65,0,0.889,53,FALSE,Goalie,Goalie
871,Bloody Oath,G,1,MET,59,3,125,1,1,0,80,74,6,2.87,0,0.925,72,TRUE,Goalie,Goalie
881,Iorek Byrnison,G,1,STL,59,7,415,3,4,0,250,229,21,3.03,0,0.916,74,FALSE,Goalie,Goalie
1047,Willie Miller,G,1,NBB,59,5,303,1,3,1,236,219,17,3.36,0,0.928,87,FALSE,Goalie,Goalie
1179,Olof Karsikko,G,1,VAN,59,2,55,0,1,0,45,41,4,4.3,0,0.911,62,TRUE,Goalie,Goalie
66,Zhen Roza,G,1,ANA,60,7,462,3,2,2,186,177,9,1.17,3,0.952,78,TRUE,Goalie,Goalie
166,Yanno Rosejac,G,1,ANC,60,21,1307,14,6,1,601,554,47,2.16,2,0.922,71,FALSE,Goalie,Goalie
631,Harley Fank,G,1,NBB,60,1,24,0,0,0,22,22,0,0,0,0.999,83,TRUE,Goalie,Goalie
685,Osada Tamura,G,1,CAR,60,3,167,1,2,0,95,83,12,4.3,0,0.874,55,TRUE,Goalie,Goalie
731,Jack Lewis,G,1,STL,60,1,22,0,0,0,18,18,0,0,0,0.999,75,FALSE,Goalie,Goalie
757,Podan Podanovic,G,1,DET,60,4,239,0,4,0,141,126,15,3.76,0,0.894,73,FALSE,Goalie,Goalie
795,Benjamin Blue-II,G,1,KEL,60,4,238,0,4,0,195,175,20,5.04,0,0.897,78,FALSE,Goalie,Goalie
811,Senji Seteki,G,1,COL,60,7,456,3,2,2,253,233,20,2.63,0,0.921,71,TRUE,Goalie,Goalie
827,Evgeni Petrov,G,1,NL,60,14,843,10,3,1,311,287,24,1.71,3,0.923,73,TRUE,Goalie,Goalie
871,Bloody Oath,G,1,MET,60,11,698,4,7,0,427,392,35,3.01,1,0.918,76,FALSE,Goalie,Goalie
881,Iorek Byrnison,G,1,STL,60,11,635,7,4,0,384,354,30,2.83,0,0.922,78,FALSE,Goalie,Goalie
1047,Willie Miller,G,1,NBB,60,4,219,0,3,1,196,180,16,4.38,0,0.918,78,TRUE,Goalie,Goalie
1050,Monster The Doctor,G,1,DET,60,1,0,0,0,0,0,0,0,0,0,0,50,FALSE,Goalie,Goalie
1120,Jonas Johansson,G,1,NL,60,2,120,2,0,0,25,24,1,0.5,1,0.96,72,FALSE,Goalie,Goalie
1179,Olof Karsikko,G,1,VAN,60,13,777,6,7,0,401,361,40,3.08,0,0.9,67,FALSE,Goalie,Goalie
1180,Nor Dekes,G,1,QCC,60,14,836,8,6,0,446,404,42,3.01,0,0.906,69,TRUE,Goalie,Goalie
1278,Meeka Keprosoft,G,1,CAR,60,4,190,1,2,0,128,112,16,5.04,0,0.875,58,TRUE,Goalie,Goalie
1279,Rusty Remao,G,1,MET,60,1,4,0,0,0,2,2,0,0,0,0.999,50,FALSE,Goalie,Goalie
66,Zhen Roza,G,1,COL,61,9,540,5,3,1,293,268,25,2.77,1,0.915,71,FALSE,Goalie,Goalie
264,Conner McLavish,G,1,REG,61,1,21,0,0,0,17,15,2,5.58,0,0.882,58,TRUE,Goalie,Goalie
685,Osada Tamura,G,1,CAR,61,1,2,0,0,0,2,2,0,0,0,0.999,49,FALSE,Goalie,Goalie
757,Podan Podanovic,G,1,DET,61,1,52,0,0,0,50,46,4,4.56,0,0.92,75,FALSE,Goalie,Goalie
811,Senji Seteki,G,1,ANA,61,6,358,2,4,0,290,265,25,4.19,0,0.914,79,FALSE,Goalie,Goalie
827,Evgeni Petrov,G,1,NL,61,14,850,8,5,1,444,408,36,2.54,0,0.919,76,FALSE,Goalie,Goalie
851,Hugh Jass,G,1,DET,61,6,311,2,3,1,281,259,22,4.24,0,0.922,78,TRUE,Goalie,Goalie
859,Rebecca Montagne,G,1,REG,61,4,247,0,3,1,161,140,21,5.08,0,0.87,55,TRUE,Goalie,Goalie
881,Iorek Byrnison,G,1,STL,61,7,421,3,3,1,262,240,22,3.13,1,0.916,76,FALSE,Goalie,Goalie
1107,Olov Larsson,G,1,VAN,61,2,21,0,0,0,13,11,2,5.53,0,0.846,47,FALSE,Goalie,Goalie
1151,Dominik Tretyak,G,1,ANC,61,10,609,4,1,5,263,237,26,2.56,0,0.901,64,TRUE,Goalie,Goalie
1179,Olof Karsikko,G,1,VAN,61,14,826,12,2,0,413,379,34,2.47,2,0.918,70,FALSE,Goalie,Goalie
1180,Nor Dekes,G,1,QCC,61,16,1007,10,6,0,487,441,46,2.74,2,0.906,68,FALSE,Goalie,Goalie
1252,Brick Wall,G,1,GFG,61,12,720,5,7,0,399,357,42,3.5,1,0.895,68,TRUE,Goalie,Goalie
1278,Meeka Keprosoft,G,1,CAR,61,4,281,0,2,2,183,166,17,3.62,0,0.907,69,FALSE,Goalie,Goalie
1379,Anzelms Krastins,G,1,ANA,61,1,4,0,0,0,8,8,0,0,0,0.999,60,TRUE,Goalie,Goalie
1382,Lord Skrolk,G,1,KEL,61,8,506,4,4,0,270,249,21,2.49,0,0.922,75,TRUE,Goalie,Goalie
1384,Skating Dino,G,1,QCC,61,1,0,0,0,0,0,0,0,0,0,0,50,FALSE,Goalie,Goalie
366,Vincent Catalano,G,1,STL,62,4,238,0,4,0,166,153,13,3.26,0,0.922,82,TRUE,Goalie,Goalie
685,Osada Tamura,G,1,CAR,62,9,497,5,4,0,234,212,22,2.65,1,0.906,64,FALSE,Goalie,Goalie
814,Willie Macdougal,G,1,NBB,62,1,5,0,0,0,5,5,0,0,0,0.999,60,FALSE,Goalie,Goalie
871,Bloody Oath,G,1,MET,62,3,181,1,1,1,77,65,12,3.96,0,0.844,51,FALSE,Goalie,Goalie
1047,Willie Miller,G,1,NBB,62,10,622,6,2,2,356,329,27,2.6,0,0.924,81,FALSE,Goalie,Goalie
1108,Recently Tired,G,1,COL,62,10,616,4,4,2,342,311,31,3.02,0,0.909,72,TRUE,Goalie,Goalie
1120,Jonas Johansson,G,1,NL,62,13,784,12,1,0,294,273,21,1.61,2,0.929,72,FALSE,Goalie,Goalie
1151,Dominik Tretyak,G,1,ANC,62,14,865,8,5,1,488,445,43,2.98,2,0.912,67,FALSE,Goalie,Goalie
1158,Enes Gundogan,G,1,VAN,62,12,757,6,4,2,308,275,33,2.62,0,0.893,62,FALSE,Goalie,Goalie
1180,Nor Dekes,G,1,QCC,62,6,361,2,4,0,218,197,21,3.49,0,0.904,69,FALSE,Goalie,Goalie
1221,Ted Lindsay,G,1,ANC,62,1,13,0,0,0,10,9,1,4.47,0,0.9,54,FALSE,Goalie,Goalie
1252,Brick Wall,G,1,GFG,62,4,238,0,4,0,152,138,14,3.52,0,0.908,70,FALSE,Goalie,Goalie
1278,Meeka Keprosoft,G,1,CAR,62,1,41,0,0,0,29,27,2,2.86,0,0.931,68,FALSE,Goalie,Goalie
1279,Rusty Remao,G,1,MET,62,7,418,3,4,0,221,204,17,2.43,1,0.923,76,FALSE,Goalie,Goalie
1373,Mrs. McSaves,G,1,ANA,62,5,298,2,1,1,172,156,16,3.22,0,0.907,69,FALSE,Goalie,Goalie
1379,Anzelms Krastins,G,1,ANA,62,2,64,0,2,0,38,32,6,5.56,0,0.842,44,FALSE,Goalie,Goalie
1382,Lord Skrolk,G,1,KEL,62,8,477,4,4,0,221,202,19,2.39,2,0.914,75,FALSE,Goalie,Goalie
1497,Tim Thomas,G,1,COL,62,1,6,0,0,0,6,6,0,0,0,0.999,57,FALSE,Goalie,Goalie
685,Osada Tamura,G,1,CAR,63,6,360,2,4,0,189,168,21,3.5,0,0.889,62,FALSE,Goalie,Goalie
859,Rebecca Montagne,G,1,REG,63,4,238,0,4,0,107,96,11,2.76,0,0.897,62,FALSE,Goalie,Goalie
990,Evert Jansson,G,1,DET,63,9,496,4,4,1,305,285,20,2.42,1,0.934,80,FALSE,Goalie,Goalie
1047,Willie Miller,G,1,NBB,63,6,371,2,3,1,237,214,23,3.72,0,0.903,67,FALSE,Goalie,Goalie
1107,Olov Larsson,G,1,VAN,63,6,360,2,4,0,218,201,17,2.83,0,0.922,75,FALSE,Goalie,Goalie
1108,Recently Tired,G,1,COL,63,6,371,2,3,1,228,207,21,3.39,1,0.908,75,FALSE,Goalie,Goalie
1120,Jonas Johansson,G,1,NL,63,14,860,12,1,1,331,300,31,2.16,2,0.906,68,FALSE,Goalie,Goalie
1121,Justin Time,G,1,QCC,63,13,755,7,5,1,433,392,41,3.26,1,0.905,68,TRUE,Goalie,Goalie
1158,Enes Gundogan,G,1,ANA,63,9,549,5,2,2,298,281,17,1.86,3,0.943,85,TRUE,Goalie,Goalie
1163,Adam Rage,G,1,MET,63,9,509,4,3,1,279,249,30,3.53,1,0.892,64,FALSE,Goalie,Goalie
1180,Nor Dekes,G,1,QCC,63,1,48,0,0,0,36,32,4,4.92,0,0.889,54,FALSE,Goalie,Goalie
1194,Hank Stopper,G,1,GFG,63,2,120,1,1,0,89,82,7,3.5,0,0.921,87,FALSE,Goalie,Goalie
1252,Brick Wall,G,1,GFG,63,14,873,8,6,0,349,312,37,2.54,1,0.894,65,FALSE,Goalie,Goalie
1278,Meeka Keprosoft,G,1,KEL,63,18,1114,10,6,2,494,454,40,2.15,1,0.919,71,FALSE,Goalie,Goalie
1279,Rusty Remao,G,1,MET,63,3,167,0,3,0,98,83,15,5.36,0,0.847,45,TRUE,Goalie,Goalie
1474,Toms Zile,G,1,DET,63,3,177,1,1,0,128,116,12,4.05,0,0.906,72,FALSE,Goalie,Goalie
859,Rebecca Montagne,G,1,REG,64,7,409,3,3,1,290,264,26,3.81,0,0.91,77,FALSE,Goalie,Goalie
990,Evert Jansson,G,1,DET,64,13,741,7,4,2,369,335,34,2.75,0,0.908,68,FALSE,Goalie,Goalie
1015,Steffe Stenfors,G,1,STL,64,1,1,0,0,0,4,4,0,0,0,0.999,53,FALSE,Goalie,Goalie
1108,Recently Tired,G,1,COL,64,13,778,6,7,0,452,415,37,2.85,1,0.918,78,FALSE,Goalie,Goalie
1120,Jonas Johansson,G,1,NL,64,15,907,12,3,0,350,316,34,2.25,1,0.903,65,FALSE,Goalie,Goalie
1121,Justin Time,G,1,QCC,64,14,859,8,4,2,558,509,49,3.42,0,0.912,79,FALSE,Goalie,Goalie
1158,Enes Gundogan,G,1,ANA,64,5,306,1,3,1,197,175,22,4.31,0,0.888,68,FALSE,Goalie,Goalie
1163,Adam Rage,G,1,MET,64,5,301,2,2,1,135,125,10,1.99,1,0.926,74,TRUE,Goalie,Goalie
1221,Ted Lindsay,G,1,ANC,64,2,53,0,0,0,45,43,2,2.25,0,0.956,69,FALSE,Goalie,Goalie
1278,Meeka Keprosoft,G,1,KEL,64,2,23,0,0,0,20,16,4,9.99,0,0.8,39,FALSE,Goalie,Goalie
1279,Rusty Remao,G,1,MET,64,1,58,0,1,0,25,20,5,5.1,0,0.8,32,FALSE,Goalie,Goalie
1280,Jason Playstation,G,1,CAR,64,4,57,0,0,0,53,45,8,8.29,0,0.849,50,TRUE,Goalie,Goalie
1439,Valérian Sauveterre,G,1,NBB,64,10,603,6,3,1,322,289,33,3.28,0,0.898,70,TRUE,Goalie,Goalie
1468,BASE PACK,G,1,CAR,64,11,603,5,6,0,431,394,37,3.68,1,0.914,73,TRUE,Goalie,Goalie
1474,Toms Zile,G,1,DET,64,3,169,1,1,0,76,68,8,2.83,0,0.895,60,TRUE,Goalie,Goalie
1610,Inda Bagg,G,1,REG,64,1,18,0,0,0,16,14,2,6.61,0,0.875,52,TRUE,Goalie,Goalie
1615,Joshua CorcoranTwitch,G,1,STL,64,4,238,0,3,1,231,212,19,4.78,0,0.918,80,FALSE,Goalie,Goalie
1616,Keith Kakapo,G,1,ANC,64,4,186,0,4,0,169,150,19,6.11,0,0.888,62,FALSE,Goalie,Goalie
1861,Alvin Towne,G,1,KEL,64,12,701,7,5,0,376,334,42,3.59,0,0.888,61,FALSE,Goalie,Goalie
990,Evert Jansson,G,1,DET,65,15,936,10,3,2,437,396,41,2.63,1,0.906,67,FALSE,Goalie,Goalie
1015,Steffe Stenfors,G,1,YUM,65,1,20,0,0,0,16,13,3,9,0,0.813,44,FALSE,Goalie,Goalie
1095,Nina Tucker,G,1,NL,65,23,1388,15,8,0,657,592,65,2.81,1,0.901,68,TRUE,Goalie,Goalie
1121,Justin Time,G,1,QCC,65,10,563,5,3,1,270,239,31,3.3,0,0.885,57,FALSE,Goalie,Goalie
1163,Adam Rage,G,1,MET,65,5,297,2,3,0,214,197,17,3.43,0,0.921,82,FALSE,Goalie,Goalie
1194,Hank Stopper,G,1,GFG,65,4,249,0,3,1,183,167,16,3.85,0,0.913,80,FALSE,Goalie,Goalie
1235,Casey Fantobens,G,1,KEL,65,4,198,0,2,0,163,152,11,3.32,0,0.933,78,TRUE,Goalie,Goalie
1322,Graj Virrok,G,1,KEL,65,2,39,0,2,0,29,18,11,9.99,0,0.621,11,TRUE,Goalie,Goalie
1345,Isabella Bouchard,G,1,YUM,65,12,723,5,6,1,494,453,41,3.4,0,0.917,78,TRUE,Goalie,Goalie
1439,Valérian Sauveterre,G,1,NBB,65,9,544,6,3,0,294,267,27,2.98,0,0.908,72,FALSE,Goalie,Goalie
1474,Toms Zile,G,1,DET,65,2,120,2,0,0,44,37,7,3.5,0,0.841,46,FALSE,Goalie,Goalie
1610,Inda Bagg,G,1,REG,65,7,446,3,4,0,215,197,18,2.42,0,0.916,72,FALSE,Goalie,Goalie
1615,Joshua CorcoranTwitch,G,1,STL,65,2,64,0,1,0,51,45,6,5.54,0,0.882,57,FALSE,Goalie,Goalie
1625,Anthony Dionne,G,1,STL,65,8,484,5,3,0,232,206,26,3.22,1,0.888,67,TRUE,Goalie,Goalie
1667,Sir Devoir,G,1,MET,65,1,60,0,1,0,47,42,5,5,0,0.894,78,FALSE,Goalie,Goalie
1730,B Jobin,G,1,VAN,65,4,229,0,3,0,196,177,19,4.96,0,0.903,72,FALSE,Goalie,Goalie
1731,Shiny Shuckle,G,1,COL,65,8,484,4,3,1,246,224,22,2.72,1,0.911,72,FALSE,Goalie,Goalie
1862,Samuel Piccard,G,1,NL,65,1,25,0,0,0,15,14,1,2.37,0,0.933,70,FALSE,Goalie,Goalie
1863,Manny Vector,G,1,VAN,65,3,34,0,0,1,26,23,3,5.17,0,0.885,45,FALSE,Goalie,Goalie
1866,Caleb Hayden,G,1,QCC,65,1,56,0,0,1,26,23,3,3.2,0,0.885,55,FALSE,Goalie,Goalie
1867,Dexter Harrison,G,1,NBB,65,1,60,0,1,0,46,40,6,6,0,0.87,63,TRUE,Goalie,Goalie
